c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71
3,1,2,1,0,0,4,4,3,1,0,0,20,25,13,5,5,10,11,9,7,1,0,3,1,1,1,0,0,0,0,0,0,3,3,3,1,1,0,0,1,0,0,0,1,0,0,1,5,5,13,23,35,28,2,4,3,4,9,5,1,0,0,0,0,0,0,1,1,3,1,1
1,1,1,1,0,0,0,1,2,0,1,0,8,14,16,17,13,8,5,3,8,2,4,3,0,1,1,0,0,0,1,0,0,1,3,3,0,0,0,2,1,1,0,0,0,2,4,0,6,5,23,18,25,4,1,0,5,7,9,2,0,0,0,1,1,1,0,0,0,0,0,0
0,0,0,1,1,1,2,0,0,1,0,1,12,14,9,19,9,12,2,4,1,5,4,3,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,2,5,7,12,11,16,12,1,3,3,3,6,6,0,0,0,0,1,1,1,0,0,1,0,0
1,0,1,0,2,1,1,0,1,1,2,1,17,13,10,21,7,18,6,2,5,3,4,8,1,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,2,0,1,0,1,2,1,5,8,6,18,12,15,1,4,1,6,4,8,0,0,0,1,1,1,0,0,0,0,0,0
1,0,0,0,1,0,1,1,0,0,1,1,7,10,10,7,8,16,3,3,4,2,4,8,1,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,2,8,10,11,19,15,22,1,1,4,4,3,7,0,0,0,0,0,1,1,1,0,1,1,0
0,0,0,1,0,2,0,2,0,0,1,1,23,12,12,5,8,15,4,4,1,2,4,6,0,1,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,2,0,2,9,11,8,11,13,18,6,2,0,2,4,10,0,0,0,1,0,1,0,1,0,0,1,0
0,0,0,0,0,0,1,0,1,0,0,1,18,26,28,5,4,13,6,8,5,1,0,3,1,0,0,0,0,0,0,1,1,3,1,1,1,2,0,1,1,2,0,1,0,0,1,3,17,23,10,8,12,13,2,6,3,5,7,7,0,1,0,0,0,1,1,0,0,1,3,0
1,1,2,0,0,0,1,1,1,0,0,0,25,16,15,9,7,6,12,6,8,1,3,1,1,1,1,0,0,0,0,0,0,3,3,3,0,0,1,0,0,0,0,0,1,1,0,0,6,4,7,9,26,16,1,0,3,4,8,3,0,0,1,1,0,0,0,1,0,0,1,3
0,0,1,0,0,1,0,2,0,0,1,1,19,15,9,8,9,19,4,3,3,1,2,8,0,1,0,0,0,1,1,0,0,1,3,0,1,2,1,2,0,0,0,2,1,0,0,1,15,7,16,14,13,8,5,4,6,5,2,2,0,1,1,1,0,0,0,0,0,0,3,3
2,0,0,1,1,1,0,0,0,0,0,1,14,14,16,15,13,7,5,3,3,5,4,3,1,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,2,8,9,8,20,6,16,6,1,3,5,1,8,0,0,0,0,0,1,1,1,0,1,1,0
0,1,2,0,1,0,0,0,2,0,0,0,19,35,18,6,5,8,5,9,10,1,4,0,0,0,1,0,0,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,1,0,2,7,9,10,7,5,19,2,2,2,3,3,3,0,0,0,1,0,1,0,1,0,0,1,0
2,1,0,0,0,0,2,3,2,0,0,0,18,16,22,6,7,11,7,7,7,1,3,4,1,1,1,0,0,0,0,0,0,3,3,3,3,2,2,0,0,0,1,1,1,0,2,0,14,15,15,6,10,12,7,5,6,1,4,1,1,1,1,0,0,0,0,0,0,3,3,3
0,0,0,1,3,0,2,0,0,0,3,0,11,7,8,9,28,16,2,1,0,6,10,2,1,0,0,0,1,0,0,0,1,3,0,1,1,0,0,3,1,0,1,1,1,4,1,1,5,13,16,20,14,10,1,4,2,11,3,2,0,0,0,1,1,0,0,0,1,0,0,1
2,0,0,1,0,0,0,0,1,1,0,1,9,6,10,15,9,16,4,1,2,3,1,2,0,0,0,0,0,0,1,1,1,1,1,1,0,3,1,0,0,1,1,3,1,0,0,0,17,28,19,4,7,9,6,10,8,2,1,3,1,1,1,0,0,0,0,0,0,3,3,3
0,0,1,0,0,0,1,1,2,1,0,1,12,7,12,13,17,12,3,3,6,6,5,3,0,1,1,0,0,0,1,0,0,1,3,3,0,1,0,1,0,0,1,0,0,1,0,0,21,13,6,17,14,16,3,4,3,6,3,6,0,1,0,1,0,0,0,0,1,0,3,1
0,1,0,0,2,1,1,1,1,1,1,1,11,12,8,5,23,16,3,7,2,1,6,6,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,2,1,0,0,1,3,0,13,7,7,12,16,18,6,3,0,3,7,7,0,0,0,0,1,1,1,0,0,1,0,0
0,0,1,1,0,0,1,0,0,0,0,0,20,5,4,8,9,23,5,3,2,6,2,5,0,0,1,0,0,0,1,1,0,1,1,3,1,0,0,0,0,0,1,0,1,2,1,0,19,17,16,12,7,10,5,5,8,2,3,4,0,0,1,0,1,0,1,0,0,1,0,3
